,_id,id,title,release_date,genres,vote_average,popularity,vote_count,imdb_id,tmdbId
32,32,14118,Dedication,2007,Comedy-Drama-Romance,6.6,2.082066,31.0,490579,14118.0
33,33,15282,The Hide,2008,Horror-Thriller,6.2,1.2007376,5.0,1305816,15282.0
34,34,15860,Dragon Tiger Gate,2006,Action-Thriller,6.7,4.154861,55.0,482930,15860.0
35,35,16071,The Cake Eaters,2007,Drama-Romance,5.5,4.701858,39.0,418586,16071.0
36,36,16139,Phantasm III: Lord of the Dead,1994,Horror-Action-Science Fiction,5.6,4.401721,56.0,110823,16139.0
37,37,16638,El Cid,1961,Action-Drama-History-Romance-War,6.8,4.152069,57.0,54847,16638.0
38,38,16867,Gardens of the Night,2008,Crime-Drama,6.5,2.683651,28.0,833960,16867.0
39,39,18256,Castle Freak,1995,Thriller-Drama-Horror-Mystery,5.8,2.26977,40.0,112643,18256.0
40,40,18357,The Country Bears,2002,Adventure-Comedy-Family,4.3,7.007574,20.0,276033,18357.0
41,41,18435,Crush,2001,Romance-Comedy-Drama,5.4,1.27202,8.0,245407,18435.0
42,42,19413,"Ugly, Dirty and Bad",1976,Comedy-Drama,7.2,3.364908,45.0,74252,19413.0
43,43,19828,10 Attitudes,2001,Drama-Comedy-Romance,3.0,0.659927,2.0,312297,19828.0
44,44,20043,Royal Space Force - The Wings Of Honneamise,1987,Animation-Science Fiction,6.7,2.988405,27.0,93207,20043.0
45,45,20065,Purple Violets,2007,Comedy-Drama-Romance,5.7,2.266369,9.0,491109,20065.0
46,46,20156,Exotica,1994,Drama-Mystery,6.5,5.378467,64.0,109759,20156.0
47,47,20605,The City of Violence,2006,Action-Thriller,6.4,8.907871,38.0,821470,20605.0
48,48,20766,The Road,2009,Adventure-Drama,6.8,14.958098,1113.0,898367,20766.0
49,49,21266,Reptilicus,1961,Horror-Science Fiction,3.8,1.2007376,20.0,56405,21266.0
50,50,21316,Leroy & Stitch,2006,Animation-Comedy-Family,6.5,11.193451,61.0,486761,21316.0
51,51,21905,Shabd,2005,Drama-Foreign-Romance,5.0,0.922522,1.0,409527,21905.0
52,52,22029,Black Caesar,1973,Action-Crime-Drama,5.7,2.707671,21.0,69792,22029.0
53,53,22051,Adam,2009,Drama-Romance,6.9,7.003724,152.0,1185836,22051.0
54,54,22135,Not Forgotten,2009,Thriller,5.3,3.035571,23.0,1127221,22135.0
55,55,23479,The Bad News Bears,1976,Comedy-Family,7.0,8.399441,100.0,74174,23479.0
56,56,24259,On the Run,2002,Thriller,7.0,0.103334,2.0,233418,24259.0
57,57,25330,Dutch,1991,Comedy,6.4,8.237799,66.0,101786,25330.0
58,58,25664,Throw Down,2004,Drama-Action,6.7,3.210913,17.0,415380,25664.0
59,59,26769,Cocaine Cowboys II: Hustlin' with the Godmother,2008,Action-Documentary,6.3,0.989028,18.0,1176726,26769.0
60,60,27265,Mother,1996,Comedy,6.8,7.860965,19.0,117091,27265.0
61,61,27550,Nina Frisk,2007,Comedy,5.1,0.195066,4.0,827729,27550.0
62,62,27653,An American Tail: The Mystery of the Night Monster,1999,Adventure-Fantasy-Animation-Science Fiction-Mystery-Family,5.8,5.832963,30.0,197230,27653.0
63,63,27712,Killjoy 2: Deliverance from Evil,2002,Horror,3.0,0.525622,5.0,295369,27712.0
64,64,27740,A Return to Salem's Lot,1987,Horror,4.4,2.731501,18.0,93855,27740.0
65,65,28032,Thumbelina,1994,Animation-Drama-Family-Fantasy,6.1,13.856199,117.0,111419,28032.0
66,66,28967,The Little Fox,1981,Adventure-Animation-Family,7.5,1.025539,13.0,131636,28967.0
67,67,29069,The Velvet Vampire,1971,Horror,3.9,1.132207,7.0,67929,29069.0
68,68,29463,Krush Groove,1985,Drama-Music-Romance,7.0,1.560562,12.0,89444,29463.0
69,69,29903,Barbarian Queen,1985,Adventure-Fantasy-Action-Science Fiction,4.6,1.424291,9.0,88771,29903.0
70,70,30552,The Eroticist,1972,Comedy,6.2,1.2007376,5.0,68193,30552.0
71,71,30909,If I Should Die Before I Wake,1952,Drama-Horror-Thriller,4.5,1.2007376,2.0,184901,30909.0
72,72,31068,Killing Words,2003,Drama-Thriller,6.5,0.820094,11.0,339489,31068.0
73,73,31337,Contact High,2009,Comedy,7.6,1.430713,9.0,780002,31337.0
74,74,31388,Santa with Muscles,1996,Family-Comedy,3.5,7.378936,20.0,117550,31388.0
75,75,31515,The Boy Friend,1971,Comedy-Romance,6.7,0.543395,3.0,66858,31515.0
76,76,31618,Betrayed,1988,Action-Drama-Romance-Thriller,5.6,2.812811,19.0,94731,31618.0
77,77,31875,Last Resort,2000,Drama-Foreign-Romance,5.5,0.647706,7.0,258761,31875.0
78,78,31890,God on Trial,2008,History-War,8.2,1.462217,14.0,1173494,31890.0
79,79,31950,The 'Human' Factor,1975,Action-Thriller-Foreign,6.6,0.169452,4.0,73131,31950.0
80,80,32593,Snow White: The Fairest of Them All,2001,Adventure-Family-Fantasy-TV Movie,5.3,1.2007376,52.0,255605,32593.0
81,81,33076,Wholly Moses,1980,Comedy,4.9,9.389486,10.0,81751,33076.0
82,82,33295,More Than a Game,2008,Documentary,7.2,1.199003,17.0,1286821,33295.0
83,83,33343,Gypsy 83,2001,Drama,7.4,0.469538,8.0,251110,33343.0
84,84,34723,The Adventures of Huck Finn,1993,Action-Adventure-Drama-Family,6.2,4.048513,43.0,106223,34723.0
85,85,36868,The Jetsons Meet the Flintstones,1987,Animation-Family,4.9,1.059743,14.0,192175,36868.0
86,86,37380,Thunder Bay,1953,Adventure-Drama,6.0,0.588655,6.0,46425,37380.0
87,87,37840,Love Me Not,2006,Drama,6.9,1.2007376,9.0,904068,37840.0
88,88,38163,Bernard and Doris,2006,Comedy-Drama,6.4,1.333473,22.0,470732,38163.0
89,89,38183,The Hire: Ambush,2001,Action,6.7,0.910518,17.0,283875,38183.0
90,90,38246,Servants of Twilight,1991,Horror-Thriller,5.6,0.03803,9.0,102882,38246.0
91,91,38304,Far Away,2001,Drama-Romance,7.0,0.060327,1.0,258242,38304.0
92,92,38340,A High Wind in Jamaica,1965,Action-Drama,5.5,1.235903,9.0,59269,38340.0
93,93,39241,The Human Dutch,1963,Documentary,6.3,1.2007376,3.0,56819,39241.0
94,94,40096,A Dog's Will,2000,Adventure-Comedy-Drama,8.2,23.950396,120.0,271383,40096.0
95,95,40140,Marooned,1969,Drama-Science Fiction-Thriller,6.8,1.785956,17.0,64639,40140.0
96,96,40798,Americano,2005,Comedy-Drama-Romance,5.9,1.116696,8.0,368571,40798.0
97,97,41212,Titicut Follies,1967,Documentary,7.3,1.484381,23.0,62374,41212.0
98,98,41343,The God of Cookery,1996,Comedy,7.0,1.880292,34.0,116426,41343.0
99,99,41441,The Sword with No Name,2009,Action-Drama,6.1,1.2007376,16.0,1465518,41441.0
100,100,41568,Tales from the Crapper,2004,Science Fiction-Horror-Comedy,3.6,1.2007376,7.0,338479,41568.0
101,101,41668,Fantozzi The Return,1996,Drama-Romance-Foreign,5.4,2.933271,70.0,116279,41668.0
102,102,42006,Red Sorghum,1987,Drama-War,7.0,2.045228,36.0,93206,42006.0
103,103,42168,Chapter Two,1979,Romance-Drama,7.5,0.706906,2.0,78952,42168.0
104,104,42542,Starship Invasions,1977,Science Fiction,2.3,0.790107,4.0,76760,42542.0
105,105,42792,The Carpetbaggers,1964,Drama,5.3,1.427019,7.0,57917,42792.0
106,106,42871,Gunman's Walk,1958,Western,6.1,1.60834,11.0,51690,42871.0
107,107,43539,The Next Three Days,2010,Romance-Drama-Thriller-Crime,6.9,9.591425,927.0,1458175,43539.0
108,108,47329,Stella,1990,Drama,6.2,6.175627,11.0,100691,47329.0
109,109,47453,Sodoma's Ghost,1988,Foreign-Horror,3.6,1.2007376,5.0,95132,47453.0
110,110,48364,The Man in the Glass Booth,1975,Action-Drama-Thriller,6.7,0.528522,7.0,73345,48364.0
111,111,48412,Battle of the Coral Sea,1959,War,7.0,0.134917,2.0,52606,48412.0
112,112,50241,Saving Shiloh,2006,Family-Drama,6.5,0.836976,5.0,472175,50241.0
113,113,50950,Ingmar Bergman Makes a Movie,1963,Documentary,7.3,0.930353,3.0,407888,50950.0
114,114,52616,Pavilion of Women,2001,War-Drama-Romance-Foreign,5.3,0.501948,6.0,244709,52616.0
115,115,53215,Kiwi!,2006,Animation-Action,6.5,1.994703,41.0,1051713,53215.0
116,116,54474,The Star,2002,War-Drama,5.0,1.2007376,7.0,326450,54474.0
117,117,54648,The Pebble and the Penguin,1995,Animation-Adventure-Family,5.2,2.304986,32.0,114108,54648.0
118,118,56544,The Law Is the Law,1958,Comedy,7.2,1.2007376,13.0,51851,56544.0
119,119,60631,Street Smart,1987,Thriller-Crime-Drama,5.7,7.721588,16.0,94056,60631.0
120,120,60759,Payroll,1961,Crime-Drama,6.4,1.2007376,5.0,55283,60759.0
121,121,60792,Walk on the Wild Side,1962,Drama,5.3,1.123864,7.0,56671,60792.0
122,122,61560,Smoking / No Smoking,1993,Drama-Comedy,6.6,0.501632,11.0,108167,61560.0
123,123,61999,Sara,1997,Drama-Action-Crime-Romance-Family,7.0,1.2007376,12.0,120066,61999.0
124,124,62029,Bingo Bongo,1982,Comedy,5.7,2.353858,24.0,83655,62029.0
125,125,63492,What's Your Number?,2011,Comedy-Romance,6.2,6.958086,689.0,770703,63492.0
126,126,63568,But What If This Is Love?,1961,Romance-Drama,5.0,1.2007376,1.0,147806,63568.0
127,127,64074,Two in the Wave,2010,Documentary-Foreign,5.5,0.232855,5.0,1528224,64074.0
128,128,64525,Paranoia,1969,Thriller-Drama-Romance,6.2,2.262992,6.0,63413,64525.0
129,129,70190,Scarred City,1999,Action-Thriller,2.3,0.385951,3.0,126016,70190.0
130,130,71243,Flat Top,1952,Drama-Action-War,3.5,0.575229,2.0,44621,71243.0
131,131,74097,Bikini Summer III: South Beach Heat,1997,Comedy,1.5,0.07183,2.0,118720,74097.0
132,132,74122,The Bigamist,1953,Drama,6.9,0.995928,11.0,45557,74122.0
133,133,74154,Nuvvostanante Nenoddantana,2005,Drama-Comedy-Romance-Foreign,5.6,1.2007376,6.0,455663,74154.0
134,134,74225,Killer Party,1986,Comedy-Horror,5.0,1.2007376,12.0,91338,74225.0
135,135,74946,Feast of All Saints,2001,Romance-Drama,4.4,0.731121,4.0,255730,74946.0
136,136,75000,The Black Power Mixtape 1967-1975,2011,Documentary,7.7,0.385288,6.0,1592527,75000.0
137,137,76198,The Slap,1974,Foreign-Comedy-Drama-Romance,5.2,1.10577,13.0,71550,76198.0
138,138,78479,Jackpot,2006,Comedy,7.0,0.652781,13.0,448909,78479.0
139,139,78566,Gangsters,1977,Drama-Action-Crime-Romance-Foreign,0.0,0.00068,0.0,185640,78566.0
140,140,80027,Kings of the Sun,1963,Action-Adventure-Western,5.1,0.443636,12.0,57225,80027.0
141,141,80613,"Eversmile, New Jersey",1989,Romance-Comedy-Drama,5.5,0.511066,2.0,97302,80613.0
142,142,82639,Diana Vreeland: The Eye Has to Travel,2012,Documentary,7.0,0.598646,14.0,2053352,82639.0
143,143,86231,The In Crowd,1988,Drama-Music-Romance,5.3,1.2007376,5.0,95362,86231.0
144,144,86440,I'm Gonna Explode,2008,Drama-Comedy-Romance-Foreign,8.3,0.270064,3.0,1080857,86440.0
145,145,87302,Alien Space Avenger,1989,Science Fiction-Horror-Comedy,1.5,0.097503,2.0,101296,87302.0
146,146,87683,Krakatoa: The Last Days,2006,Drama-Documentary,6.3,0.506519,6.0,791318,87683.0
147,147,92690,¡Mátalo!,1970,Thriller-Western-Action-Drama,6.5,0.458827,2.0,68024,92690.0
148,148,94502,Starship,1984,Science Fiction,5.5,1.2007376,4.0,90068,94502.0
149,149,94706,The Quince Tree Sun,1992,Drama-Documentary,6.2,0.001655,6.0,105438,94706.0
150,150,97211,Dreams,1955,Drama,7.1,0.84719,20.0,48272,97211.0
151,151,98581,8 First Dates,2012,Comedy,7.3,1.2007376,12.0,2258239,98581.0
152,152,100024,Bloodwork,2012,Horror-Thriller,4.3,1.099911,13.0,1562567,100024.0
153,153,104505,No Rest for the Brave,2003,Drama-Comedy-Romance-Foreign,6.0,0.212178,3.0,339553,104505.0
154,154,104548,Demons,1971,Horror-Foreign,8.6,1.2007376,11.0,165473,104548.0
155,155,105210,Thermae Romae,2012,Drama-Comedy-Science Fiction,5.7,2.129707,29.0,1867101,105210.0
156,156,108930,Jim Gaffigan: Beyond the Pale,2006,Comedy,7.6,0.941286,19.0,815456,108930.0
157,157,109097,Teen-Age Strangler,1964,Horror-Thriller,5.0,1.2007376,2.0,59786,109097.0
158,158,111261,Romántico,2005,Documentary,8.0,1.2007376,1.0,436728,111261.0
159,159,115199,The History of Future Folk,2012,Comedy-Science Fiction-Music,6.6,1.807096,27.0,2245195,115199.0
160,160,119283,Parker,2013,Action-Crime,5.7,13.963892,1467.0,1904996,119283.0
161,161,121636,The Rat Race,1960,Comedy-Drama-Romance,6.7,0.430616,5.0,54230,121636.0
162,162,121749,Is It Easy to Be Young?,1986,Documentary,1.0,0.126123,2.0,126711,121749.0
163,163,125464,A Cosmic Christmas,1977,Science Fiction-Animation,0.0,1.2007376,0.0,182015,125464.0
164,164,130798,Forget me not,2013,Documentary,7.1,0.592828,7.0,2389530,130798.0
165,165,132128,Voices of the Andes,2009,History-Documentary-Foreign,0.0,0.006588,0.0,1667146,132128.0
166,166,136867,Oliver Twist,1999,Drama,6.3,1.306213,12.0,222608,136867.0
167,167,139169,Farewell,1981,Drama,6.0,0.317334,4.0,86149,139169.0
168,168,150224,Savage Guns,1971,Western,4.8,1.2007376,2.0,67057,150224.0
169,169,150838,Hôtel des Invalides,1952,Documentary,6.3,0.149604,3.0,44733,150838.0
170,170,153272,Taxandria,1994,Fantasy-Animation-Adventure,7.0,1.2007376,4.0,117865,153272.0
171,171,159011,Manhunt: The Inside Story of the Hunt for Bin Laden,2013,Documentary,6.3,0.527539,4.0,2475544,159011.0
172,172,159203,Tale of a Forest,2012,Documentary-Family,6.9,0.359806,7.0,2066922,159203.0
173,173,162451,Portrait Werner Herzog,1986,Documentary,7.8,0.716599,4.0,796829,162451.0
174,174,168138,The Last Days,2013,Science Fiction-Adventure-Thriller,5.6,5.961623,103.0,1935914,168138.0
175,175,171213,Love After Love,1992,Romance-Drama,0.0,1.2007376,0.0,103710,171213.0
176,176,176032,Escape from the 'Liberty' Cinema,1990,Drama,5.2,1.2007376,3.0,103150,176032.0
177,177,176568,Sensuela,1973,Drama,4.5,1.2007376,4.0,138795,176568.0
178,178,186292,The Collector,1997,Drama-Thriller,5.0,1.2007376,1.0,119769,186292.0
179,179,208284,The Strange Color of Your Body's Tears,2013,Mystery-Thriller,6.0,1.998366,41.0,2733258,208284.0
180,180,208763,Forbidden Kingdom,2014,Thriller-Adventure-Mystery-Fantasy,4.9,5.653476,71.0,1224378,208763.0
181,181,211158,Ein Teil von mir,2009,Drama,0.0,1.2007376,0.0,1251370,211158.0
182,182,212994,From One Second to the Next,2013,Documentary,7.4,0.466299,10.0,3108864,212994.0
183,183,215538,The Love Machine,1971,Drama,3.5,0.482649,2.0,67359,215538.0
184,184,216043,The Iceman: Confessions of a Mafia Hitman,2001,Documentary,7.3,1.2007376,8.0,347228,216043.0
185,185,218329,Breakout,2013,Action-Thriller,4.3,7.152793,29.0,2314886,218329.0
186,186,222388,One Kine Day,2011,Drama,3.0,0.119382,1.0,1438214,222388.0
187,187,224885,Red Wing,2013,Drama,5.5,1.2007376,2.0,2265080,224885.0
188,188,227094,The Returned,2013,Horror-Thriller-Drama,6.2,4.761441,86.0,2093270,227094.0
189,189,227627,El Viaje de la Nonna,2008,Comedy,6.0,1.2007376,1.0,961210,227627.0
190,190,245706,True Story,2015,Crime-Drama-Mystery,6.2,7.87202,536.0,2273657,245706.0
191,191,251281,Thomas Pynchon: A Journey Into the Mind of P.,2003,Documentary,0.0,0.002844,0.0,304820,251281.0
192,192,253295,Manny,2014,Documentary-Drama,6.4,2.711057,40.0,1778931,253295.0
193,193,253808,3rd World Hero,2000,Drama-History,8.5,0.147723,2.0,260731,253808.0
194,194,254258,As Dreamers Do,2014,Drama-Family,4.6,0.686423,7.0,3402880,254258.0
195,195,254420,Gulaab Gang,2014,Action-Drama,7.8,1.2007376,4.0,2573750,254420.0
196,196,255772,White Mountains,1964,Drama,5.0,0.051215,1.0,2144017,255772.0
197,197,256166,Murder by Natural Causes,1979,Mystery-Crime-TV Movie-Horror,0.0,1.2007376,0.0,79593,256166.0
198,198,259389,Dancing in September,2001,Drama,6.5,0.935221,1.0,219636,259389.0
199,199,261538,Tora-san's Rise and Fall,1975,Comedy,0.0,0.000589,0.0,73498,261538.0
200,200,263412,Akelarre,1984,Horror-Drama,3.0,1.2007376,1.0,86864,263412.0
201,201,270343,Love at First Fight,2014,Comedy-Romance,6.3,8.569586,153.0,3204144,270343.0
202,202,273598,Road to Your Heart,2014,Adventure-Romance,5.5,1.2007376,6.0,2988490,273598.0
203,203,276486,The Work of Director Chris Cunningham,2003,Music,8.8,1.2007376,5.0,386123,276486.0
204,204,278468,Family Guy Presents: Blue Harvest,2007,Animation,7.2,5.658089,117.0,888817,278468.0
205,205,290825,Yoga Hosers,2016,Comedy-Fantasy-Horror-Thriller,4.7,1.2007376,107.0,3838992,290825.0
206,206,294368,An Open Secret,2015,Documentary,7.0,1.2007376,10.0,3677412,294368.0
207,207,301334,Una,2016,Drama,6.6,1.2007376,22.0,2315582,301334.0
208,208,309579,Prince Among Slaves,2008,Documentary,0.0,1.2007376,0.0,852992,309579.0
209,209,310814,Julie & Jack,2003,Romance-Science Fiction,1.0,1.2007376,1.0,358551,310814.0
210,210,316015,My Life as a Dead Girl,2015,Mystery-Crime-Fantasy,6.0,1.2007376,4.0,3683072,316015.0
211,211,321283,Flogsta Heaven,2015,Documentary,0.0,1.2007376,0.0,5100542,321283.0
212,212,321640,The Jinx: The Life and Deaths of Robert Durst,2015,Documentary,8.6,5.403881,85.0,4299972,321640.0
213,213,321751,A Perfect Day,2015,Comedy-Drama,6.6,1.2007376,194.0,3577624,321751.0
214,214,329718,Finding Altamira,2016,Drama-History,5.7,1.2007376,37.0,3014910,329718.0
215,215,331161,See You In Valhalla,2015,Drama-Comedy,5.5,2.506371,33.0,3084028,331161.0
216,216,336271,The Dark Stranger,2016,Drama-Thriller-Horror,5.2,1.2007376,10.0,3653650,336271.0
217,217,336664,Paulina,2015,Drama-Thriller,6.7,1.046181,17.0,3784222,336664.0
218,218,337075,The Alchemist's Letter,2015,Family-Fantasy-Mystery,6.9,1.2007376,7.0,4001992,337075.0
219,219,340190,Drunk Wedding,2015,Comedy,3.8,1.2007376,9.0,1950135,340190.0
220,220,343825,Het is een schone dag geweest,1993,Documentary,0.0,1.2007376,0.0,200698,343825.0
221,221,356167,Jimi Hendrix: Electric Church,2015,Music-Documentary,7.2,1.2007376,3.0,5217608,356167.0
222,222,357935,Forbidden Area,1956,Drama,6.0,0.451961,1.0,675570,357935.0
223,223,362363,Directed by Sidney Lumet: How the Devil Was Made,2008,Documentary,0.0,1.2007376,0.0,1170352,362363.0
224,224,369054,Christmas Land,2015,Family,6.7,1.2007376,11.0,5265662,369054.0
225,225,373451,Michael Jackson's Journey from Motown to Off the Wall,2016,Music-Documentary,7.2,1.2007376,33.0,5275844,373451.0
226,226,376934,Restart,2005,Drama,0.0,1.2007376,0.0,423061,376934.0
227,227,379387,Vulgar Fractions,2011,Documentary,6.0,1.2007376,3.0,2305348,379387.0
228,228,382170,A Bride for Rip Van Winkle,2016,Drama,6.7,1.2007376,11.0,4671274,382170.0
229,229,388046,Donos de Portugal,2012,Documentary,0.0,0.008236,0.0,2146688,388046.0
230,230,391578,"New York, New York",2016,Romance,5.0,1.2007376,1.0,5576336,391578.0
231,231,413440,Pumpkin Pie Wars,2016,TV Movie-Romance,5.8,1.2007376,4.0,6076802,413440.0
232,232,418693,Marathon: The Patriots Day Bombing,2016,Documentary,6.6,1.2007376,7.0,6047906,418693.0
233,233,418772,Crisis in Six Scenes,2016,Comedy,6.3,1.2007376,27.0,4354616,418772.0
234,234,419786,Doctor Who: Time Crash,2007,Science Fiction,8.0,1.2007376,12.0,1129418,419786.0
235,235,457962,Shimmer Lake,2017,Thriller-Crime-Drama-Mystery,6.0,1.2007376,74.0,1386691,457962.0
236,236,149,Akira,1988,Science Fiction-Animation,7.8,10.888917,792.0,94625,149.0
237,237,396,Who's Afraid of Virginia Woolf?,1966,Drama,7.8,5.564294,199.0,61184,396.0
238,238,439,La Dolce Vita,1960,Comedy-Drama,7.9,11.063822,305.0,53779,439.0
239,239,457,Sissi,1955,Comedy-Drama-Romance,7.3,1.2007376,109.0,48624,457.0
240,240,1265,Bridge to Terabithia,2007,Adventure-Drama-Family,7.0,8.460206,1146.0,398808,1265.0
241,241,1955,The Elephant Man,1980,Drama-History,7.9,8.405672,740.0,80678,1955.0
242,242,2267,The Last Mimzy,2007,Adventure-Family,5.9,6.183051,116.0,768212,2267.0
243,243,2290,Jakob the Liar,1999,Comedy-Drama-History,6.1,9.217935,91.0,120716,2290.0
244,244,2668,Sleepy Hollow,1999,Drama-Fantasy-Thriller-Mystery,6.9,11.072361,1774.0,162661,2668.0
245,245,3064,Chances Are,1989,Fantasy-Comedy-Science Fiction-Romance,6.5,4.901036,66.0,97044,3064.0
246,246,3178,Beat,2000,Drama,4.9,1.2007376,9.0,211941,3178.0
247,247,4823,Final Analysis,1992,Drama-Thriller-Romance,5.4,4.43707,61.0,104265,4823.0
248,248,5910,Fireworks,1997,Crime-Drama,7.6,5.044722,118.0,119250,5910.0
249,249,8197,Midnight in the Garden of Good and Evil,1997,Crime-Drama-Mystery-Thriller,6.3,5.145907,161.0,119668,8197.0
250,250,8368,The Garden of Eden,2008,Drama,4.2,0.160182,3.0,1031243,8368.0
251,251,9451,Election,1999,Comedy,6.7,7.174396,275.0,126886,9451.0
252,252,9707,Bubba Ho-tep,2002,Comedy-Horror-Thriller-Mystery-Fantasy,6.7,5.574383,192.0,281686,9707.0
253,253,10368,Tea with Mussolini,1999,Comedy-Drama-War,5.8,3.094893,32.0,120857,10368.0
254,254,10611,Barbershop,2002,Comedy-Drama,6.2,6.498789,139.0,303714,10611.0
255,255,11054,Hairspray,1988,Comedy-Family-Music,6.6,6.453409,102.0,95270,11054.0
256,256,11283,Nanny McPhee,2005,Fantasy-Comedy-Family,6.4,9.806554,742.0,396752,11283.0
257,257,11319,The Rescuers,1977,Fantasy-Family-Animation-Adventure,6.7,11.32442,609.0,76618,11319.0
258,258,11460,Red Eye,2005,Horror-Thriller,6.2,6.336927,471.0,421239,11460.0
259,259,11527,Excalibur,1981,Fantasy-Adventure,7.1,8.800455,241.0,82348,11527.0
260,260,12171,The Deaths of Ian Stone,2007,Horror-Thriller,5.2,6.86365,82.0,810823,12171.0
261,261,13170,The Boys & Girls Guide to Getting Down,2007,Comedy,6.0,0.412775,8.0,464907,13170.0
262,262,13204,Hellboy Animated: Blood and Iron,2007,TV Movie-Fantasy-Animation-Horror-Action-Thriller-Science Fiction,6.7,6.942203,19.0,817910,13204.0
263,263,13342,Fast Times at Ridgemont High,1982,Comedy,7.0,14.658885,330.0,83929,13342.0
264,264,13484,The Foot Fist Way,2006,Comedy,6.0,2.066141,35.0,492619,13484.0
265,265,13960,ATL,2006,Drama,6.0,2.582818,33.0,466856,13960.0
266,266,14136,The Love Bug,1968,Comedy-Family-Fantasy,6.0,10.091707,126.0,64603,14136.0
267,267,15104,Tortilla Soup,2001,Comedy-Drama-Romance,5.8,4.101369,14.0,255653,15104.0
268,268,15258,The Aristocrats,2005,Comedy-Documentary,6.0,3.898364,47.0,436078,15258.0
269,269,15877,The Sky Crawlers,2008,Action-Adventure-Animation,6.7,3.58447,41.0,1056437,15877.0
270,270,17110,One Point O,2004,Science Fiction,5.8,2.399033,33.0,317042,17110.0
271,271,17905,Branded to Kill,1967,Action-Crime-Drama,7.4,3.399614,57.0,61882,17905.0
272,272,17963,Gone Nutty,2002,Animation-Comedy,6.7,5.51214,41.0,342965,17963.0
273,273,19185,Night of the Living Dead,1990,Horror,6.7,10.644165,198.0,100258,19185.0
274,274,19205,Cthulhu,2007,Horror-Thriller,4.7,0.925387,9.0,478126,19205.0
275,275,19508,Garfield's Pet Force,2009,Animation-Comedy-Family,5.7,4.816294,20.0,1389762,19508.0
276,276,19513,Series 7: The Contenders,2001,Action-Comedy-Thriller,6.3,1.63465,16.0,251031,19513.0
